,Song,Performer,Relevance (Total Weeks on Chart),Count of no. 1,Year,Month,Popularity
22423,One Sweet Day,Mariah Carey & Boyz II Men (6-1996),27,16,1996,6,0.59
23348,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber (1-2018),51,16,2018,1,0.31
22685,I Will Always Love You,Whitney Houston (3-2012),29,14,2012,3,0.48
22947,I'll Make Love To You,Boyz II Men (3-1995),33,14,1995,3,0.42
23236,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John (7-1998),42,14,1998,7,0.33
23261,We Belong Together,Mariah Carey (2-2006),43,14,2006,2,0.33
23379,Uptown Funk!,Mark Ronson Featuring Bruno Mars (3-2016),56,14,2016,3,0.25
23383,I Gotta Feeling,The Black Eyed Peas (7-2010),56,14,2010,7,0.25
23397,Macarena (Bayside Boys Mix),Los Del Rio (2-1997),60,14,1997,2,0.23
21056,Jump,Van Halen (6-1984),21,13,1984,6,0.62
22376,The Boy Is Mine,Brandy & Monica (11-1998),27,13,1998,11,0.48
22920,"End Of The Road (From ""Boomerang"")",Boyz II Men (2-1993),32,13,1993,2,0.41
21625,Lose Yourself,Eminem (3-2003),23,12,2003,3,0.52
22304,Hello,Adele (5-2016),26,12,2016,5,0.46
22967,Boom Boom Pow,The Black Eyed Peas (11-2009),33,12,2009,11,0.36
23282,Yeah!,Usher Featuring Lil Jon & Ludacris (11-2004),45,12,2004,11,0.27
23317,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell (3-2014),48,12,2014,3,0.25
23355,See You Again,Wiz Khalifa Featuring Charlie Puth (3-2016),52,12,2016,3,0.23
23356,Closer,The Chainsmokers Featuring Halsey (8-2017),52,12,2017,8,0.23
23390,Smooth,Santana Featuring Rob Thomas (9-2000),58,12,2000,9,0.21
23393,Shape Of You,Ed Sheeran (3-2018),58,12,2018,3,0.21
15893,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus (6-2019),15,11,2019,6,0.73
22585,Independent Women Part I,Destiny's Child (3-2001),28,11,2001,3,0.39
22754,I Swear,All-4-One (11-1994),30,11,1994,11,0.37
22943,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112 (1-1998),33,11,1998,1,0.33
23071,God's Plan,Drake (10-2018),36,11,2018,10,0.31
23231,One More Night,Maroon 5 (4-2013),42,11,2013,4,0.26
23244,Un-Break My Heart,Toni Braxton (8-1997),42,11,1997,8,0.26
21315,In My Feelings,Drake (12-2018),22,10,2018,12,0.45
22086,You Light Up My Life,Debby Boone (2-1978),25,10,1978,2,0.4
22261,Maria Maria,Santana Featuring The Product G&B (8-2000),26,10,2000,8,0.38
22349,Physical,Olivia Newton-John (3-1982),26,10,1982,3,0.38
22720,Dilemma,Nelly Featuring Kelly Rowland (1-2003),29,10,2003,1,0.34
22752,Irreplaceable,Beyonce (5-2007),30,10,2007,5,0.33
22908,Foolish,Ashanti (9-2002),32,10,2002,9,0.31
23078,One Dance,Drake Featuring WizKid & Kyla (12-2016),36,10,2016,12,0.28
23162,Gold Digger,Kanye West Featuring Jamie Foxx (4-2006),39,10,2006,4,0.26
23180,Low,Flo Rida Featuring T-Pain (8-2008),40,10,2008,8,0.25
23211,We Found Love,Rihanna Featuring Calvin Harris (7-2012),41,10,2012,7,0.24
23304,Happy,Pharrell Williams (12-2014),47,10,2014,12,0.21
18585,Hey Jude,The Beatles (1-1969),19,9,1969,1,0.47
21180,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra (5-1960),21,9,1960,5,0.43
21748,Candy Shop,50 Cent Featuring Olivia (7-2005),23,9,2005,7,0.39
22275,Mack The Knife,Bobby Darin (2-1960),26,9,1960,2,0.35
22354,Bette Davis Eyes,Kim Carnes (9-1981),26,9,1981,9,0.35
22446,Endless Love,Diana Ross & Lionel Richie (1-1982),27,9,1982,1,0.33
22697,My Love,Justin Timberlake Featuring T.I. (4-2007),29,9,2007,4,0.31
22711,Baby Boy,Beyonce Featuring Sean Paul (2-2004),29,9,2004,2,0.31
22763,In Da Club,50 Cent (8-2003),30,9,2003,8,0.3
22910,Hey Ya!,OutKast (5-2004),32,9,2004,5,0.28
23050,Work,Rihanna Featuring Drake (10-2016),36,9,2016,10,0.25
23075,Let Me Love You,Mario (6-2005),36,9,2005,6,0.25
23122,TiK ToK,Ke$ha (7-2010),38,9,2010,7,0.24
23215,Family Affair,Mary J. Blige (5-2002),41,9,2002,5,0.22
23269,Royals,Lorde (5-2014),44,9,2014,5,0.2
23335,Call Me Maybe,Carly Rae Jepsen (2-2013),50,9,2013,2,0.18
19172,Honey,Mariah Carey (1-1998),20,8,1998,1,0.4
19745,Night Fever,Bee Gees (6-1978),20,8,1978,6,0.4
20358,Tha Crossroads,Bone Thugs-N-Harmony (9-1996),20,8,1996,9,0.4
20942,7 Rings,Ariana Grande (6-2019),21,8,2019,6,0.38
21350,Every Breath You Take,The Police (10-1983),22,8,1983,10,0.36
21677,That's The Way Love Goes,Janet Jackson (10-1993),23,8,1993,10,0.35
21759,Tonight's The Night (Gonna Be Alright),Rod Stewart (3-1977),23,8,1977,3,0.35
22132,Nice For What,Drake (10-2018),25,8,2018,10,0.32
22144,Fantasy,Mariah Carey (3-1996),25,8,1996,3,0.32
22393,Crazy In Love,Beyonce Featuring Jay Z (11-2003),27,8,2003,11,0.3
22663,Dreamlover,Mariah Carey (2-1994),29,8,1994,2,0.28
22800,Take A Bow,Madonna (7-1995),30,8,1995,7,0.27
23072,Burn,Ellie Goulding (5-2014),36,8,2014,5,0.22
23311,All About That Bass,Meghan Trainor (6-2015),47,8,2015,6,0.17
23325,Rockstar,Nickelback (1-2008),49,8,2008,1,0.16
23394,Somebody That I Used To Know,Gotye Featuring Kimbra (3-2013),59,8,2013,3,0.14
15469,I Want To Hold Your Hand,The Beatles (4-1964),15,7,1964,4,0.47
17543,I Heard It Through The Grapevine,Gladys Knight And The Pips (2-1968),17,7,1968,2,0.41
18225,Ebony And Ivory,Paul McCartney And Stevie Wonder (8-1982),19,7,1982,8,0.37
19640,I Love Rock 'N Roll,Joan Jett & the Blackhearts (6-1982),20,7,1982,6,0.35
19688,I'm A Believer,Smash Mouth (12-2001),20,7,2001,12,0.35
20585,Black Or White,Michael Jackson (4-1992),20,7,1992,4,0.35
21391,(Everything I Do) I Do It For You,Bryan Adams (11-1991),22,7,1991,11,0.32
21602,I Kissed A Girl,Katy Perry (10-2008),23,7,2008,10,0.3
21650,Tossin' And Turnin',Bobby Lewis (9-1961),23,7,1961,9,0.3
22031,Billie Jean,Michael Jackson (6-2014),25,7,2014,6,0.28
22037,Shadow Dancing,Andy Gibb (9-1978),25,7,1978,9,0.28
22139,Informer,Snow (6-1993),25,7,1993,6,0.28
22172,I'll Be There,The Escape Club (11-1991),25,7,1991,11,0.28
22221,Hot In Herre,Nelly (10-2002),26,7,2002,10,0.27
22426,Black Beatles,Rae Sremmurd Featuring Gucci Mane (4-2017),27,7,2017,4,0.26
22587,Venus,Frankie Avalon (4-1976),28,7,1976,4,0.25
22613,"Thank U, Next",Ariana Grande (5-2019),28,7,2019,5,0.25
22673,Love The Way You Lie,Eminem Featuring Rihanna (1-2011),29,7,2011,1,0.24
22681,This Is How We Do It,Montell Jordan (9-1995),29,7,1995,9,0.24
22721,"Can't Help Falling In Love (From ""Sliver"")",UB40 (11-1993),29,7,1993,11,0.24
22839,Whatever You Like,T.I. (3-2009),31,7,2009,3,0.23
22899,Crank That (Soulja Boy),Soulja Boy Tell'em (3-2008),32,7,2008,3,0.22
22938,Umbrella,Rihanna Featuring Jay-Z (12-2007),33,7,2007,12,0.21
23005,Waterfalls,TLC (1-1996),34,7,1996,1,0.21
23054,SexyBack,Justin Timberlake (3-2007),36,7,2007,3,0.19
23058,Blank Space,Taylor Swift (7-2015),36,7,2015,7,0.19
23130,Goodies,Ciara Featuring Petey Pablo (3-2005),38,7,2005,3,0.18
23161,Fancy,Iggy Azalea Featuring Charli XCX (12-2014),39,7,2014,12,0.18
